0me,Matches,Innings,Not_Outs,Runs,High_Score,Average,No_Of_100,No_Of_50,Strike_Rate,Catches_Taken,Stumpings,Runs/Innings,Rating,ScaledRating,LogRating
A J Finch,156,152,15,4686,156,34.2,2,34,133.42,61,0,30.82894737,70223.1514,16.28,4.846480315
C L White,207,198,43,4737,141,30.56,2,31,127.99,86,0,23.92424242,61985.18578,15.78,4.792287907
D P M Jayawardene,200,193,24,4854,110,28.72,2,34,130.02,74,0,25.15025907,60105.89028,15.66,4.778917034
V Sehwag,159,157,6,4061,122,26.89,2,24,147.83,42,0,25.86624204,52315.9142,15.12,4.718633819
A M Sagar,227,206,46,4088,106,25.55,2,18,135.36,45,0,19.84466019,49854.0853,14.94,4.697700752
S B Styris,201,186,30,4020,106,25.76,2,13,134.58,47,0,21.61290323,48193.17371,14.82,4.682985527
Mohammad Hafeez,196,187,14,4174,102,24.12,2,25,124.55,63,0,22.32085562,42056.96444,14.32,4.623837923
M N Samuels,127,125,26,3198,106,32.3,2,22,119.41,34,0,25.584,40101.93847,14.15,4.603165366
M Vijay,150,148,5,3684,127,25.76,2,20,121.82,61,0,24.89189189,37494.15733,13.92,4.573963597
A Symonds,93,85,19,2141,117,32.43,2,12,147.14,42,0,25.18823529,35769.12932,13.75,4.553508369
U T Khawaja,53,52,5,1523,109,32.4,2,8,125.04,17,0,29.28846154,20124.09611,11.91,4.303716383
D J Hussey,258,243,48,5960,100,30.56,1,31,133.06,125,0,24.52674897,82339.93872,16.94,4.915610539
D A Miller,203,185,58,4506,101,35.48,1,22,138.13,132,0,24.35675676,77542.01783,16.69,4.889537098
M E K Hussey,150,141,26,4404,116,38.29,1,34,125.75,70,0,31.23404255,72187.6319,16.39,4.858462795
L R Taylor,215,200,44,4679,111,29.99,1,24,134.18,100,0,23.395,64770.27501,15.95,4.811375741
Y K Pathan,213,191,47,4092,100,28.41,1,19,144.49,69,0,21.42408377,59943.32985,15.65,4.777740864
T M Dilshan,219,215,25,5188,104,27.3,1,34,122.85,79,3,24.13023256,56714.4087,15.43,4.753693409
L M P Simmons,168,166,17,4674,100,31.36,1,36,115.95,67,0,28.15662651,55041.04707,15.32,4.740686687
